date,china,mexico
2017-01-01,41335.553396,23458.559937
2017-02-01,32784.957412,23806.874965
2017-03-01,34161.993661,27920.627811
2017-04-01,37441.870879,25017.467801
2017-05-01,41756.844722,27032.582237
2017-06-01,42258.078621,27153.754084
2017-07-01,43561.110857,24514.74541
2017-08-01,45782.311949,26924.36987
2017-09-01,45405.051275,25731.991377
2017-10-01,48133.149629,28572.107216
2017-11-01,48104.793415,27481.066952
2017-12-01,44439.382241,25052.592836
2018-01-01,45681.310362,25788.215741
2018-02-01,38956.173961,25777.142669
2018-03-01,38273.829291,29754.137946
2018-04-01,38227.767574,27895.040348
2018-05-01,43866.578304,29209.179529
2018-06-01,44524.005052,29349.892896
2018-07-01,47009.750007,27999.48831
2018-08-01,47796.194112,30885.907159
2018-09-01,49938.049895,28984.790343
2018-10-01,52081.070497,31636.756798
2018-11-01,46344.570969,29464.671352
2018-12-01,45814.858502,26935.317419
2019-01-01,41302.50818,27557.995759
2019-02-01,33027.758098,27485.222761
2019-03-01,31078.662933,31111.754186
2019-04-01,34499.454932,30229.048253
2019-05-01,39023.881706,31907.669816
2019-06-01,38732.97518,30193.358032
2019-07-01,41237.166159,29953.511976
2019-08-01,40955.642945,30887.235941
2019-09-01,39866.673154,29273.757502
2019-10-01,39794.889454,30932.978041
2019-11-01,36172.914882,29060.754817
2019-12-01,33418.149084,27500.296961
2020-01-01,32944.673286,28202.281911
2020-02-01,22576.609689,28903.203952
2020-03-01,19638.123468,29882.071459
2020-04-01,30730.147843,15771.982737
2020-05-01,36318.738261,14857.386976
2020-06-01,37286.885658,25672.078884
2020-07-01,40469.812982,28878.18955
2020-08-01,40598.942662,29555.632641
2020-09-01,41003.217161,29788.03202
2020-10-01,44654.266193,32785.496819
2020-11-01,44700.409933,29819.707574
2020-12-01,41626.191515,29360.853468
2021-01-01,38835.275419,28976.451284
2021-02-01,33816.75994,27201.783374
2021-03-01,39934.039704,33313.889483
2021-04-01,37371.138998,31991.844406
2021-05-01,38486.525451,31108.854912
2021-06-01,39779.270246,32776.616579
2021-07-01,40290.914463,31818.084797
2021-08-01,42897.843401,31957.126193
2021-09-01,47350.944635,31829.475316
2021-10-01,47873.453886,34138.925977
2021-11-01,48234.758989,34470.179273
2021-12-01,49375.341266,32986.107656
2022-01-01,47667.077458,33154.724468
2022-02-01,42297.863971,32506.486686
2022-03-01,47285.271444,40012.883474
2022-04-01,41727.289477,38516.00897
2022-05-01,43769.593642,39444.462145
2022-06-01,48488.064176,39121.482902
2022-07-01,46565.042288,37685.528471
2022-08-01,50383.134999,39778.769988
2022-09-01,49270.250025,39196.478729
2022-10-01,44670.639494,40143.500967
2022-11-01,36915.67136,36638.794268
2022-12-01,37228.7909,35815.845443
2023-01-01,38166.089291,36720.623234
2023-02-01,30569.756691,35502.242434
2023-03-01,30791.607258,42653.743395
2023-04-01,33071.357368,37873.907188
2023-05-01,35881.039803,41055.383496
2023-06-01,34312.779447,40850.096914
2023-07-01,36108.078368,38716.806141
2023-08-01,36828.481231,41475.394544
2023-09-01,40247.941237,39285.134508
2023-10-01,41548.452853,42736.476418
2023-11-01,35537.3694,39614.571816
2023-12-01,34183.629889,36422.988047
2024-01-01,35782.600942,37960.125983
2024-02-01,31863.625771,40187.070212
2024-03-01,29924.780142,41530.577463
2024-04-01,31602.676956,43033.123395
2024-05-01,34995.265867,43886.885597
2024-06-01,34169.113741,42213.048918
2024-07-01,40801.06899,41908.873109
2024-08-01,39811.237007,43684.988479
2024-09-01,43018.169857,44173.822603
2024-10-01,41444.88019,45483.34594
2024-11-01,37774.833328,42242.693041
2024-12-01,37553.745287,39218.619785
2025-01-01,41639.17075,41678.591417
2025-02-01,31635.372246,41638.739522
2025-03-01,29383.677776,47981.831804
2025-04-01,25378.077558,41868.767207
2025-05-01,20493.855247,46342.030163
2025-06-01,18948.674201,44872.76665
